Dose Level,Method,Iteration,Objective,RelativeChange,RelativeError,StepSize
50%,TV-GD,1,352.124712952666,0.051792713497186366,,
50%,TV-GD,2,282.0808478997787,0.04219926875599947,,
50%,TV-GD,3,241.45890607328207,0.03991413867750395,,
50%,TV-GD,4,224.7967163521353,0.04510170777735653,,
50%,TV-GD,5,222.04371490952144,0.053110248104058,,
50%,TV-GD,6,225.31400469690465,0.059265792590716404,,
50%,TV-GD,7,228.88135261002543,0.062283713590950536,,
50%,TV-GD,8,230.17616463027582,0.06419835228482097,,
50%,TV-GD,9,233.45165268675723,0.06562359287176407,,
50%,TV-GD,10,234.06278493298186,0.06740750138749396,,
50%,TV-GD,11,238.21335554696944,0.0687090013510031,,
50%,TV-GD,12,238.94073614156358,0.06975317711112237,,
50%,TV-GD,13,242.39410358637565,0.07085076738701103,,
50%,TV-GD,14,243.06683635970842,0.07223350196746534,,
50%,TV-GD,15,246.97891655029423,0.07317894298984899,,
50%,TV-GD,16,247.16490288944107,0.07405753845614411,,
50%,TV-GD,17,250.72024395556082,0.07467534041561627,,
50%,TV-GD,18,250.49682134754403,0.0757871096098323,,
50%,TV-GD,19,254.62424535582102,0.07667412453206547,,
50%,TV-GD,20,254.36635571904475,0.07732371910190235,,
50%,TV-GD,21,257.94601638437695,0.07785105447793653,,
50%,TV-GD,22,257.3163729428457,0.0787765003127145,,
50%,TV-GD,23,261.31958792448063,0.07949233804835153,,
50%,TV-GD,24,260.82875519515113,0.08011391610998773,,
50%,TV-GD,25,264.4419410114164,0.08050146416394602,,
50%,TV-GD,26,263.53385738668965,0.0812692062252318,,
50%,TV-GD,27,267.5046350330285,0.08196931004973541,,
50%,TV-GD,28,266.8683735337662,0.08250724668055771,,
50%,TV-GD,29,270.40534625734347,0.08287864704985803,,
50%,TV-GD,30,269.5349624053377,0.08365937584910545,,
50%,TV-GD,31,273.4357765861503,0.08431146625060089,,
50%,TV-GD,32,272.94084940592455,0.08479193862347338,,
50%,TV-GD,33,276.23110302439943,0.08507221517067846,,
50%,TV-GD,34,275.2465577653151,0.08584813909170877,,
50%,TV-GD,35,279.2670717522717,0.0864667563739585,,
50%,TV-GD,36,278.661569994394,0.08690067367627567,,
50%,TV-GD,37,281.9594034480527,0.08721469422245254,,
50%,TV-GD,38,281.1041149385176,0.08794023870306941,,
50%,TV-GD,39,284.8916275878658,0.08849069181333936,,
50%,TV-GD,40,284.2914457395449,0.08890627711430363,,
50%,TV-GD,41,287.4800856708346,0.08919489410053386,,
50%,TV-GD,42,286.60771030281416,0.08991794372904063,,
50%,TV-GD,43,290.32715150821355,0.09048953523542924,,
50%,TV-GD,44,289.6545118003441,0.09079334054960086,,
50%,TV-GD,45,292.5519985611763,0.0909590822623968,,
50%,TV-GD,46,291.5187044468231,0.09156496335708146,,
50%,TV-GD,47,294.9477402336803,0.09204973886432803,,
50%,TV-GD,48,294.2260852611368,0.09239911528485877,,
50%,TV-GD,49,297.22550227924705,0.09254307472473863,,
50%,TV-GD,50,295.91899447226416,0.09307960406441546,,
50%,TV-GD,51,299.39068814571874,0.0935095790768836,,
50%,TV-GD,52,298.3513545027623,0.09374980766262904,,
50%,TV-GD,53,301.160131976147,0.0939514065697945,,
50%,TV-GD,54,299.99902749548255,0.0945197626285453,,
50%,TV-GD,55,303.4638318006313,0.09482084753403468,,
50%,TV-GD,56,302.0646131780794,0.09503944635764203,,
50%,TV-GD,57,304.94508129950873,0.09518351548076945,,
50%,TV-GD,58,303.64385025263977,0.09564061009130291,,
50%,TV-GD,59,306.78945694345623,0.09595399752059669,,
50%,TV-GD,60,305.57716578775523,0.09616978412574168,,
50%,TV-GD,61,308.28971631678115,0.09629967585283017,,
50%,TV-GD,62,306.8914333089864,0.09672323704884779,,
50%,TV-GD,63,310.0073306298907,0.09697686657563728,,
50%,TV-GD,64,308.76926471043436,0.09719864108753475,,
50%,TV-GD,65,311.3344067287042,0.09730866740128684,,
50%,TV-GD,66,309.93633712641696,0.09773759138365454,,
50%,TV-GD,67,313.0217550427106,0.09795459562314876,,
50%,TV-GD,68,311.55725776661063,0.098068451423871,,
50%,TV-GD,69,314.1184267029339,0.09818074297805739,,
50%,TV-GD,70,312.6092758266893,0.09853046359424843,,
50%,TV-GD,71,315.43169589553287,0.09871266550896113,,
50%,TV-GD,72,314.0002644022483,0.09894544325295632,,
50%,TV-GD,73,316.65485875693037,0.0990031018803785,,
50%,TV-GD,74,314.9949378240657,0.09927926610834566,,
50%,TV-GD,75,317.7552614182965,0.09943046251437919,,
50%,TV-GD,76,316.0962659446466,0.09957239759044746,,
50%,TV-GD,77,318.6065695255228,0.099649884486093,,
50%,TV-GD,78,316.96829941396544,0.0999531396322971,,
50%,TV-GD,79,319.6646424020189,0.10002027046345927,,
50%,TV-GD,80,317.87701265638157,0.10012034682886313,,
50%,TV-GD,81,320.35917459823463,0.1000893767972304,,
50%,TV-GD,82,318.36084193245057,0.10037069433932445,,
50%,TV-GD,83,321.1175170264395,0.10056160706689585,,
50%,TV-GD,84,319.4942983065532,0.10069674318317913,,
50%,TV-GD,85,321.93290217653396,0.10062346024276647,,
50%,TV-GD,86,319.86447850435013,0.1008132629692349,,
50%,TV-GD,87,322.36294193980655,0.10089363131640182,,
50%,TV-GD,88,320.65688975790437,0.10095893836851548,,
50%,TV-GD,89,322.79764473341993,0.1009357862851956,,
50%,TV-GD,90,321.03517774908624,0.10117793285924177,,
50%,TV-GD,91,323.47776990143393,0.10128295692526983,,
50%,TV-GD,92,321.7471034051074,0.10138184369949253,,
50%,TV-GD,93,324.0098498390425,0.10132464380022649,,
50%,TV-GD,94,322.1003140456792,0.10141979691621135,,
50%,TV-GD,95,324.16702492850175,0.10144581063782356,,
50%,TV-GD,96,322.4256523538812,0.1016310404334492,,
50%,TV-GD,97,324.8636779914534,0.10155550391427406,,
50%,TV-GD,98,322.5887126136455,0.10171273932310167,,
50%,TV-GD,99,325.1263437396605,0.10172680970965216,,
50%,TV-GD,100,323.0602819282427,0.10171787471340143,,
50%,TV-GD,101,325.22057745112494,0.10164430554893208,,
50%,TV-GD,102,323.06435052013,0.10186120418146165,,
50%,TV-GD,103,325.57455444625657,0.10189971979992997,,
50%,TV-GD,104,323.5750732525243,0.10191746866995485,,
50%,TV-GD,105,325.5691609567471,0.1018104386242118,,
50%,TV-GD,106,323.5349492764039,0.10194730516833113,,
50%,TV-GD,107,325.807020077689,0.10196909686364189,,
50%,TV-GD,108,323.69106700510247,0.10193556681192692,,
50%,TV-GD,109,325.71539544827675,0.10181185443860832,,
50%,TV-GD,110,323.53281805896796,0.10202090091100084,,
50%,TV-GD,111,326.0157821986494,0.10202310640194216,,
50%,TV-GD,112,323.8040101102672,0.1019687991395724,,
50%,TV-GD,113,325.7448749792278,0.10184991194207976,,
50%,TV-GD,114,323.60243832444075,0.10201044250428919,,
50%,TV-GD,115,325.9277856379587,0.10200943657934057,,
50%,TV-GD,116,323.7771916196489,0.10199080444151551,,
50%,TV-GD,117,325.8786051206824,0.10183848621942898,,
50%,TV-GD,118,323.531914159762,0.10195213091495954,,
50%,TV-GD,119,325.84457493715735,0.10195894065086235,,
50%,TV-GD,120,323.79412741274336,0.10198781959234102,,
50%,Adaptive VST-PGD,1,63784.131231494,0.03152463270395995,0.15554747325217697,0.08
50%,Adaptive VST-PGD,2,58406.95830106791,0.06675368870624138,0.1149563548783957,0.2
50%,Adaptive VST-PGD,3,52133.92692883486,0.05407981854163069,0.10341445438448699,0.12211168188999402
50%,Adaptive VST-PGD,4,40582.86917338751,0.031049511722103382,0.09400374782859028,0.06935778350153178
