Dose Level,Method,PSNR,SSIM,RMSE,RE,EPI,Runtime,Iterations
50%,Low-dose,27.611579755577885,0.7354415914280299,0.04163139965804725,0.17156727900179078,0.9587996805528612,0.0,0
50%,Gaussian,26.08931519664676,0.8951878809629719,0.04960600356737765,0.20443144175103412,0.9348191590735662,0.0004987079992133658,0
50%,NLM,33.1971545138158,0.9698480098022088,0.02188478449230237,0.0901894473336336,0.9924746218729324,0.025209167000866728,0
50%,TV-GD,31.56008449833239,0.5623562154274081,0.026423830514867654,0.1088953227486317,0.9913112935335738,0.039455999998608604,120
50%,Adaptive VST-PGD,34.16349559625231,0.9352007905930059,0.019580565041034958,0.08069352202907724,0.9921613129839038,0.0631293749975157,31
25%,Low-dose,24.67002354974763,0.6963129221684897,0.05841156233985011,0.24072005493945536,0.9218403362450048,0.0,0
25%,Gaussian,25.8739782421352,0.8571811798619133,0.05085118617388184,0.20956296731618496,0.9278445553573537,0.00041945799966924824,0
25%,NLM,30.64072120749245,0.9530859800651498,0.029374057429237994,0.12105351123842292,0.9860943538120717,0.02248108400090132,0
25%,TV-GD,30.26615429709121,0.5525292012535336,0.030668482348517587,0.1263879694381723,0.9855484167293314,0.03732599999784725,120
25%,Adaptive VST-PGD,31.486158088897675,0.8990925398137533,0.026649685953261504,0.10982609623526128,0.9847641947447489,0.07948566599952755,40
10%,Low-dose,20.681808156520237,0.653295414514561,0.09245056979705618,0.38099830494601405,0.8244123021877665,0.0,0
10%,Gaussian,25.104318659592487,0.7878765678736451,0.05556279281184154,0.228979982771856,0.9051170462664796,0.0005036250004195608,0
10%,NLM,27.47531565644984,0.9087362078359481,0.04228966230323857,0.17428004705262817,0.9715279592329003,0.023946000001160428,0
10%,TV-GD,26.938986060992907,0.4674452038849349,0.04498323625784835,0.18538054230328846,0.9578963246447114,0.03791441599969403,120
10%,Adaptive VST-PGD,27.874851219555794,0.8391675822596839,0.04038847348992882,0.16644505245126012,0.966260100899078,0.2971640830000979,140
